Demographics Split,US Ranking,University Name,School Name,Program Name,Program Category,Certificate,City,State,Length in Days (put average number of days if different lengths are listed),Modality,Location,Total Cost (if cost per credit is not listed. Put the latest cost),Total Online Format Cost (if cost per credit is not listed and online vs in person cost is different),Target Demographics (keep consistencies as much as possible),Unique Value
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Value Investing in Technology (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,115
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Financial Analysis and Valuation,Finance / Accounting / Investing,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",7650,,FINANCIAL PROFESSIONALS,102
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Advanced Value Investing,Finance / Accounting / Investing,Yes,New York,NY,3,In person,"Manhattanville Campus, NYC",7650,,FINANCIAL PROFESSIONALS,98
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,VC Decision Making (Online): Developing an Investment Thesis,Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,2600,FINANCIAL PROFESSIONALS,116
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Value Investing,Finance / Accounting / Investing,Yes,New York,NY,3,In person,"Manhattanville Campus, NYC",7650,,FINANCIAL PROFESSIONALS,95
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Blockchain in Business (Online): Beyond the Hype,Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,1950,FINANCIAL PROFESSIONALS,111
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Options Strategy (Online),Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,2600,FINANCIAL PROFESSIONALS,92
FINANCIAL PROFESSIONALS,3,University of Chicago (Booth),Booth School of Business,Booth CIMA® Certification Exam Prep Workshop,Finance / Accounting,Yes,Chicago,IL,2,In person,"Chicago, IL",1950,,FINANCIAL PROFESSIONALS,65
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Venture Capital: Due Diligence (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,117
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Mergers and Acquisitions (Online),Finance / Accounting / Investing,Yes,New York,NY,70,Online,na,,3700,FINANCIAL PROFESSIONALS,89
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,ESG Investing (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,113
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Scenario Planning (Online),Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,1950,FINANCIAL PROFESSIONALS,93
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Advanced Financial Statement Analysis (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,109
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Finance and Accounting for the Nonfinancial Executive,Finance / Accounting / Investing,Yes,New York,NY,5,In person,"Manhattanville Campus, NYC",11950,,FINANCIAL PROFESSIONALS,106
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Finance and Accounting for the Nonfinancial Executive,Finance / Accounting / Investing,Yes,New York,NY,5,In person,"Manhattanville Campus, NYC",11950,,FINANCIAL PROFESSIONALS,100
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Angel Investing (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,110
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Deal Camp: Preparing for Private Equity,Finance / Accounting / Investing,Yes,New York,NY,4,In person,"Montauk, NY",12950,,FINANCIAL PROFESSIONALS,108
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Future of Finance: Leveraging Fintech Innovation,Finance / Accounting / Investing,Yes,New York,NY,4,In person / Online,"Manhattanville Campus, NYC",9550,9550,FINANCIAL PROFESSIONALS,107
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Mergers and Acquisitions,Finance / Accounting / Investing,Yes,New York,NY,4,In person,"Manhattanville Campus, NYC",9550,,FINANCIAL PROFESSIONALS,103
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Venture Capital: Investing in Early-Stage Startups,Finance / Accounting / Investing,Yes,New York,NY,3,In person,"Manhattanville Campus, NYC",7950,,FINANCIAL PROFESSIONALS,105
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Foundations of Venture Capital (Online),Finance / Accounting / Investing,Yes,New York,NY,,Online,na,,2600,FINANCIAL PROFESSIONALS,114
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Corporate Valuation (Online),Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,1950,FINANCIAL PROFESSIONALS,94
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Chief Financial Officer Program,Finance / Accounting / Investing,Yes,New York,NY,365,Hybrid,"Manhattanville Campus, NYC",28000,,FINANCIAL PROFESSIONALS,112
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Real Estate Investing,Finance / Accounting / Investing,Yes,New York,NY,3,In person,"Manhattanville Campus, NYC",7950,,FINANCIAL PROFESSIONALS,104
FINANCIAL PROFESSIONALS,3,University of Chicago (Booth),Booth School of Business,Booth CIMA® Certification Exam Prep Workshop Live-Online,Finance / Accounting,Yes,Chicago,IL,104,Online,na,,5995,FINANCIAL PROFESSIONALS,67
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Future of Finance: Leveraging Fintech Innovation,Finance / Accounting / Investing,Yes,New York,NY,4,In person / Online,"Manhattanville Campus, NYC",9550,9550,FINANCIAL PROFESSIONALS,101
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Macroeconomics for Executives (Online),Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,1950,FINANCIAL PROFESSIONALS,99
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Investment Strategies (Online),Finance / Accounting / Investing,Yes,New York,NY,78,Online,na,,2800,FINANCIAL PROFESSIONALS,91
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,Executive Access: Global Economic Update,Finance / Accounting / Investing,Yes,New York,NY,1,Online,na,,300,FINANCIAL PROFESSIONALS,97
FINANCIAL PROFESSIONALS,4,Columbia University,Columbia Business School,VC Decision Making (Online),Finance / Accounting / Investing,Yes,New York,NY,50,Online,na,,2600,FINANCIAL PROFESSIONALS,90
FINANCIAL PROFESSIONALS,1,University of Pennsylvania (Wharton),The Wharton School,Advanced Finance Program,Finance / Accounting,Yes,Philadelphia,PA,548,In person,"Philadelphia, PA",79500,,SENIOR EXECUTIVES IN FINANCE,6
FINANCIAL PROFESSIONALS,3,University of Chicago (Booth),Booth School of Business,The Executive Program for Prospective CFOs,Finance / Accounting,Yes,Chicago,IL,5,In person,"Chicago, IL",12500,,SENIOR FINANCE EXECUTIVES,63
GENERAL COUNSEL,10,UC Los Angeles,Anderson,Corporate Governance Program,Governance,,Los Angeles,CA,20,Online,Online,,8500,"DIRECTORS WITH ALL LEVELS OF EXPERIENCE, CORPORATE SECRETARIES , GENERAL COUNSEL",189
GENERAL COUNSEL,12,Cornell University,SC Johnson,LABOR RELATIONSCertificate,"ENVIRONMENTAL, SOCIAL, GOVERNANCE",Yes,Ithaca,NY,60,Online,Online,,3900,"UNION STAFF, STEWARDS , OFFICIALS, HR , OPERATIONS MANAGERS, ATTORNEYS , GENERAL COUNSEL",291
SENIOR MANAGERS,4,Columbia University,Columbia Business School,Digital Transformation in Healthcare,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,,Online,Online,,2800,"C-SUITE EXECUTIVE, SENIOR MANAGEMENT, ENTREPRENEUR OR VENTURE CAPITALIST",159
SENIOR MANAGERS,4,Columbia University,Columbia Business School,Digital Strategies for Business,Strategy / Innovation / Technology / Analytics,Yes,New York,NY,,Online,Online,,1500,"SENIOR MANAGEMENT , C-SUITE PROFESSIONALS, MID TO SENIOR MANAGERS, CONSULTANTS, FUNCTIONAL MANAGERS",158
SENIOR MANAGERS,7,University of Michigan--Ann Arbor,Ross,The Positive Leader: Deep Change and Organizational Transformation,Change Management,,Ann Arbor,MI,6,In person,"Ann Arbor,MI",11500,,"DIRECTOR, VP, SENIOR MANAGER, GROUP MANAGER",167
SENIOR MANAGERS,15,Emory University,Goizueta,Leading and Inspiring Change,LEADERSHIP,Yes,Atlanta,GA,2,In person,Campus,2495,,"SENIOR MANAGERS, LEADERS, , CHANGE AGENTS",344
SENIOR MANAGERS,9,UC Berkeley,Hass,Advanced Executive Presence,Leadership and Communication,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5540,,"SENIOR EXECUTIVES, DIRECTORS, VICE PRESIDENTS, C-SUITE EXECUTIVES, , SENIOR MANAGERS",197
SENIOR MANAGERS,9,UC Berkeley,Hass,Senior Management and Innovation,Entrepreneurship and Innovation,Yes,Berkeley,CA,365,Hybrid,"Berkeley,CA",26000,,"CXOS, DIRECTORS, PRESIDENTS, VICE PRESIDENTS, SENIOR MANAGERS , OTHER BUSINESS LEADERS IN VARIOUS BUSINESS FUNCTIONS",223
SENIOR MANAGERS,7,University of Michigan--Ann Arbor,Ross,Value-Driven Thinking,Focused Programs Courses,,Ann Arbor,MI,25,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEURS, PROFESSIONALS",180
SENIOR MANAGERS,7,University of Michigan--Ann Arbor,Ross,Analytical Thinking,Management,,Ann Arbor,MI,30,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEUR",169
SENIOR MANAGERS,7,University of Michigan--Ann Arbor,Ross,Strategic Decision Making,Management,,Ann Arbor,MI,30,Online,Online,,2500,"DIRECTOR, SENIOR-MANAGER, ENTREPRENEUR, LEADERS",174
MARKETING PROFESSIONALS,4,Columbia University,Columbia Business School,Digital Marketing Intensive,Marketing / Analytics,Yes,New York,NY,,Online,Online,,6950,"EARLY TO MID-LEVEL MARKETING PROFESSIONALS, CAREER SWITCHERS, CONSULTANTS",141
MARKETING PROFESSIONALS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,STRATEGIC HOSPITALITY MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3699,"CUSTOMER-FOCUSED SALES , MARKETING PROFESSIONALS, PRODUCT MARKETING PROFESSIONALS, INDUSTRY PROFESSIONALS ANALYZING SERVICES MARKETING DATA TO MAKE STRATEGIC DECISIONS",254
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DIGITAL PHOTOGRAPHY,Marketing,Yes,Ithaca,NY,80,Online,Online,,1599,"CURRENT , ASPIRING PROFESSIONAL PHOTOGRAPHERS. ARTISTS, MARKETERS INVOLVED IN SOCIAL MEDIA, CREATIVE, OR BR,",253
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,GROWTH MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"CMO, MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",235
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DIGITAL MARKETING 360,Marketing,Yes,Ithaca,NY,200,Online,Online,,7999,"MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",233
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,BRAND MANAGEMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3900,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",238
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,BRAND STORYTELLING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",239
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,CONTENT WRITING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"COPYWRITERS , COPY EDITORS, MARKETERS, WRITERS, SOCIAL MEDIA , CONTENT DEVELOPERS",237
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,MARKETING ANALYTICS,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS, BUSINESS ANALYT, MANAGRS",243
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,PRODUCT MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,2999,"MARKETERS, PRODUCT MANAGERS, BUSINESS EXECS, CONSULTANTS, ENTREPRENEURS",248
MARKETING PROFESSIONALS,4,Columbia University,Columbia Business School,Customer Experience Strategy,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"MID-LEVEL TO SENIOR MANAGERS, PRODUCT PROFESSIONALS, MARKETERS, ENTREPRENEURS",140
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DEMAND MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS, BUSINESS ANALYT, MANAGRS",244
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DATA VISUALIZATION IN TABLEAU Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3900,"BUSINESS , DATA ANALYSTS, MANAGERS , EXECUTIVES, MARKETERS, DEVELOPERS, PRODUCT MANAGERS, CONSULTANTS",263
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,PYTHON FOR DATA SCIENCE Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,100,Online,Online,,3900,"DATA ANALYSTS , BUSINESS ANALYSTS, DATABASE MANAGERS, TECHNICAL , SYSTEMS ANALYSTS, PROGRAMMERS INTERESTED IN DATA SCIENCE, MARKETERS",265
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,MARKET RESEARCH,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"MARKETERS, BUSINESS ANALYT, MANAGERS, ACCOUNT EXECUTIVES, PRODUCT MANAGERS",246
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,STRATEGIC STORYTELLING,Marketing,Yes,Ithaca,NY,50,Online,Online,,3750,"MARKETERS,COMMUNITY LEADERS,BR, MANAGERS, COMMUNICATION CONSULTANTS , LEADERS",240
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,SUPPLY CHAIN ANALYTICSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3750,"OPERATIONS ANALYSTS, MARKET ANALYSTS, CONSULTANTS SEEKING SUPPLY CHAIN KNOWLEDGE",276
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,GROWTH MARKETING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"CMO, MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",235
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DIGITAL MARKETING 360,Marketing,Yes,Ithaca,NY,200,Online,Online,,7999,"MARKETERS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",233
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,BRAND MANAGEMENT,Marketing,Yes,Ithaca,NY,60,Online,Online,,3900,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",238
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,BRAND STORYTELLING,Marketing,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETERS,PR PROFESSIONALS, BUSINESS LEADERS,BR, MANAGERS,SOCIAL MEDIA MANAGERS, MARKETING ANALYST",239
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DATA SCIENCE WITH SQL AND TABLEAU Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,50,Online,Online,,3900,"DATA SCIENTISTS, BUSINESS ANALYSTS, DEVELOPERS, MARKETING ANALYSTS, CAREER STARTERS",262
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DATA MANAGEMENT IN SQL Certificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,50,Online,Online,,3900,"BUSINESS , MARKETING ANALYSTS, PROFESSIONALS WHO WORK WITH DATABASES OR DATA WAREHOUSES",264
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,MARKETING ANALYTICSCertificate,DATA SCIENCE & ANALYTICS,Yes,Ithaca,NY,40,Online,Online,,3750,"MARKETING , BUSINESS ANALYSTS, MANAGERS",273
MARKETING PROFESSIONALS,9,UC Berkeley,Hass,Marketing Analytics - Strategies to Optimize ROI,Entrepreneurship and Innovation,Yes,Berkeley,CA,40,Online,Online,,2600,"MARKETING , DIGITAL MARKETING MANAGERS, ANALYSTS,PRODUCT , BUSINESS MANAGERS, BR, MANAGERS",219
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,USER EXPERIENCE DESIGN,Marketing,Yes,Ithaca,NY,100,Online,Online,,3750,"PRODUCT MANAGERS, WEB DESIGNERS, SOFTWARE DEVELOPERS,MARKETING, UI,UX,GRAPHIC DESIGNERS",251
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,DATA PRIVACY STRATEGY,Marketing,Yes,Ithaca,NY,40,Online,Online,,2500,"CMOS, CIOS, CTOS, WEB DEVELOPERS, MARKETING, BR, , PRODUCT MANAGERS,TECH LEADERS, DATA SCIENTIST, CONSULTANT",250
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,SOCIAL MEDIA MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"CONTENT MARKETERS, SOCIAL MEDIA MANAGERS, MARKETING CHANNEL MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ACCOUNT EXECUTIVES, BR, MARKETERS, MARKETING COMMUNICATIONS SPECIALISTS, COPYWRITERS, MARKETING CONSULTANTS",236
MARKETING PROFESSIONALS,4,Columbia University,Columbia Business School,B2B Marketing Strategy,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"PRODUCT MANAGERS, MARKETING LEADS, ACCOUNT MANAGERS, MANAGERS FROM A TECHNICAL OR MANUFACTURING BACKGROUND, EXPERIENCED , NEWLY PROMOTED PRODUCT , BUSINESS UNIT MANAGERS",139
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,MARKETING AI,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS,CMOS, ANALYSS, BR, MANAGERS, CONTENT",249
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,CONSUMER BEHAVIOR,Marketing,Yes,Ithaca,NY,60,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, ENGINEERS, TECH LEADERS, UX , WEB DECELOPERS, ENTREPRENEURS",247
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,Digital Marketing Certificate,Marketing,Yes,Ithaca,NY,40,Online,Online,,3699,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, PROFESSIONALS",232
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,MARKETING STRATEGY,Marketing,Yes,Ithaca,NY,70,Online,Online,,3750,"MARKETING MANAGERS, PRODUCT MANAGERS, ENTREPRENEURS, PROFESSIONALS",234
MARKETING PROFESSIONALS,9,UC Berkeley,Hass,Product Management Studio,Entrepreneurship and Innovation,Yes,Berkeley,CA,160,Online,Online,,3375,"MARKETING PROFESSIONALS, PRODUCT MANAGERS",221
MARKETING PROFESSIONALS,9,UC Berkeley,Hass,Product Management,Entrepreneurship and Innovation,Yes,Berkeley,CA,5,In person,"Berkeley,CA",7155,,"MARKETING PROFESSIONALS, PRODUCT MANAGERS",220
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,STRATEGIC HOSPITALITY MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3699,"CUSTOMER-FOCUSED SALES , MARKETING PROFESSIONALS, PRODUCT MARKETING PROFESSIONALS, INDUSTRY PROFESSIONALS ANALYZING SERVICES MARKETING DATA TO MAKE STRATEGIC DECISIONS",254
MARKETING PROFESSIONALS,9,UC Berkeley,Hass,Communications Excellence,Leadership and Communication,Yes,Berkeley,CA,2,In person,"Berkeley,CA",4000,,"SENIOR LEADERSHIP EXECUTIVES , HIGH-POTENTIAL PROFESSIONALS IN BUSINESS DEVELOPMENT, SALES, , MARKETING TEAMS, WEB DEVELOPERS,ENGINEERS,ENTREPRENEURS,PROFESSIONALS",202
MARKETING PROFESSIONALS,4,Columbia University,Columbia Business School,Sales Team Management Strategies,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"VPS OF SALES, SENIOR SALES MANAGERS, OTHER SALES LEADERS, VPS OF MARKETING , SALES, HEADS OF PRODUCT MARKETING, OTHER MARKETING LEADERS, ENTREPRENEURS, FOUNDERS,CO-FOUNDERS OF ORGANIZATIONS, SALES CONSULTANTS, BUSINESS DEVELOPMENT CONSULTANTS, TECHNICAL SALES CONSULTANTS",142
MARKETING PROFESSIONALS,12,Cornell University,SC Johnson,STRATEGIC HOSPITALITY MARKETING,Marketing,Yes,Ithaca,NY,60,Online,Online,,3699,"CUSTOMER-FOCUSED SALES , MARKETING PROFESSIONALS, PRODUCT MARKETING PROFESSIONALS, INDUSTRY PROFESSIONALS ANALYZING SERVICES MARKETING DATA TO MAKE STRATEGIC DECISIONS",254
GENERAL WORKING PROFESSIONALS,2,Northwestern University,Kellogg School of Management,Leading High-Impact Teams,Leadership / Governance,,Evanston,IL,5,Online,na,,6250,GENERAL WORKING PROFESSIONALS,33
GENERAL WORKING PROFESSIONALS,21,Purdue University,"Mitchell E. Daniels, Jr. School of Business",Technical Management Institute,"General Business Management, Analytics",,West Lafayette,IN,4,In person,"West Lafayette, IN",2295,,GENERAL WORKING PROFESSIONALS,5
GENERAL WORKING PROFESSIONALS,4,Columbia University,Columbia Business School,Venture Capital: Investing in Early-Stage Startups,Finance / Accounting / Investing,Yes,New York,NY,365,Hybrid,New York,28000,,GENERAL WORKING PROFESSIONALS,88
GENERAL WORKING PROFESSIONALS,2,Northwestern University,Kellogg School of Management,Kellogg on Branding,Marketing / Analytics,,Evanston,IL,8.5,In person / Online,"Evanston, IL",9950,7950,GENERAL WORKING PROFESSIONALS,47
GENERAL WORKING PROFESSIONALS,21,Purdue University,"Mitchell E. Daniels, Jr. School of Business",Interpersonal Dynamics,General Business Management,,West Lafayette,IN,2,In person,"West Lafayette, IN",1495,,GENERAL WORKING PROFESSIONALS,4
GENERAL WORKING PROFESSIONALS,2,Northwestern University,Kellogg School of Management,Negotiation Master Class,Leadership / Governance,,Evanston,IL,12,Online,na,,6900,GENERAL WORKING PROFESSIONALS,35
GENERAL WORKING PROFESSIONALS,21,Purdue University,"Mitchell E. Daniels, Jr. School of Business",Change Management,General Business Management,,West Lafayette,IN,2,In person,"West Lafayette, IN",1495,,GENERAL WORKING PROFESSIONALS,2
GENERAL WORKING PROFESSIONALS,21,Purdue University,"Mitchell E. Daniels, Jr. School of Business",Applied Management Principles,General Business Management,,West Lafayette,IN,5,In person,"West Lafayette, IN",4995,,GENERAL WORKING PROFESSIONALS,1
GENERAL WORKING PROFESSIONALS,21,Purdue University,"Mitchell E. Daniels, Jr. School of Business",Executive Presence,General Business Management,,West Lafayette,IN,1,In person,"West Lafayette, IN",1000,,GENERAL WORKING PROFESSIONALS,3
GENERAL WORKING PROFESSIONALS,7,University of Michigan--Ann Arbor,Ross,"Diversity, Equity and Inclusion for Teams and Organizations",Management,,Ann Arbor,MI,25,Online,Online,,2500,"BUSINESS UNIT, GENERAL, REGIONAL MANAGERS, DIRECTORS, OTHER MANAGER,LEADER TITLES",171
GENERAL WORKING PROFESSIONALS,7,University of Michigan--Ann Arbor,Ross,Digital Transformation and Innovation,Management,,Ann Arbor,MI,25,Online,Online,,2500,"BUSINESS UNIT, GENERAL, REGIONAL MANAGERS, DIRECTORS, OTHER MANAGER,LEADER TITLES",170
ACCOUNT MANAGERS,4,Columbia University,Columbia Business School,B2B Marketing Strategy,Marketing / Analytics,Yes,New York,NY,,Online,Online,,2600,"PRODUCT MANAGERS, MARKETING LEADS, ACCOUNT MANAGERS, MANAGERS FROM A TECHNICAL OR MANUFACTURING BACKGROUND, EXPERIENCED , NEWLY PROMOTED PRODUCT , BUSINESS UNIT MANAGERS",139
ACCOUNT MANAGERS,4,Columbia University,Columbia Business School,Growing and Managing Global Customers,Marketing / Analytics,Yes,New York,NY,,Online,Online,,1950,"MID- TO SENIOR-LEVEL PROFESSIONALS, SENIOR-LEVEL SALES EXECUTIVES, ACCOUNT MANAGERS",137
MID- TO SENIOR-LEVEL PROFESSIONALS,15,Emory University,Goizueta,Negotiation and Influence,Innovation,Yes,Atlanta,GA,3,In person,Campus,2795,,MID TO SENIOR-LEVEL BUSINESS LEADERS,341
MID- TO SENIOR-LEVEL PROFESSIONALS,9,UC Berkeley,Hass,High-Impact Leadership,Leadership and Communication,Yes,Berkeley,CA,3,In person,"Berkeley,CA",5545,,MID-TO-SENIOR LEVEL BUSINESS LEADERS,205
MID- TO SENIOR-LEVEL PROFESSIONALS,15,Emory University,Goizueta,Data Driven Marketing Intelligence,DATA SCIENCE & ANALYTICS,No,Atlanta,GA,60,Online,Online,,6200,MID TO SENIOR-LEVEL PROFESSIONAL READY TO MOVE INTO A MORE STRATEGIC ROLE,338
MID- TO SENIOR-LEVEL PROFESSIONALS,3,University of Chicago (Booth),Booth School of Business,Strategic Organizational Management,Strategy / Innovation / Technology / Analytics,Yes,Chicago,IL,5,In person,Chicago,12500,,MID TO SENIOR-LEVEL EXECUTIVES,86
MID- TO SENIOR-LEVEL PROFESSIONALS,3,University of Chicago (Booth),Booth School of Business,High-Performance Leadership,Leadership / Governance,Yes,Chicago,IL,5,In person,Chicago,12500,,MID- SENIOR LEVEL EXECUTIVES,73
